id,market,base,quote,granularity,start,o,h,l,c,v
601,1,2,1,DAILY,"2022-08-19 00:00:00",20834.940000000000000000000000000000,21372.930000000000000000000000000000,20760.930000000000000000000000000000,21139.230000000000000000000000000000,21809.404883100000000000000000000000
602,1,2,1,DAILY,"2022-08-18 00:00:00",23188.940000000000000000000000000000,23206.760000000000000000000000000000,20782.390000000000000000000000000000,20834.940000000000000000000000000000,45962.725742800000000000000000000000
603,1,2,1,DAILY,"2022-08-17 00:00:00",23344.420000000000000000000000000000,23600.000000000000000000000000000000,23107.270000000000000000000000000000,23189.460000000000000000000000000000,13825.630896600000000000000000000000
604,1,2,1,DAILY,"2022-08-16 00:00:00",23857.890000000000000000000000000000,24448.490000000000000000000000000000,23180.140000000000000000000000000000,23341.170000000000000000000000000000,22747.438952870000000000000000000000
605,1,2,1,DAILY,"2022-08-15 00:00:00",24099.700000000000000000000000000000,24253.980000000000000000000000000000,23668.000000000000000000000000000000,23857.930000000000000000000000000000,19601.905804390000000000000000000000
606,1,2,1,DAILY,"2022-08-14 00:00:00",24316.580000000000000000000000000000,25214.570000000000000000000000000000,23777.000000000000000000000000000000,24097.820000000000000000000000000000,27821.256108940000000000000000000000
607,1,2,1,DAILY,"2022-08-13 00:00:00",24456.170000000000000000000000000000,25054.100000000000000000000000000000,24151.630000000000000000000000000000,24316.710000000000000000000000000000,23306.171003930000000000000000000000
608,1,2,1,DAILY,"2022-08-12 00:00:00",24415.080000000000000000000000000000,24898.910000000000000000000000000000,24302.360000000000000000000000000000,24456.490000000000000000000000000000,13678.304463430000000000000000000000
609,1,2,1,DAILY,"2022-08-11 00:00:00",23944.850000000000000000000000000000,24463.010000000000000000000000000000,23600.010000000000000000000000000000,24415.180000000000000000000000000000,17244.151003320000000000000000000000
610,1,2,1,DAILY,"2022-08-10 00:00:00",23959.300000000000000000000000000000,24929.990000000000000000000000000000,23862.660000000000000000000000000000,23944.860000000000000000000000000000,29681.359227570000000000000000000000
611,1,2,1,DAILY,"2022-08-09 00:00:00",23158.320000000000000000000000000000,24224.670000000000000000000000000000,22666.230000000000000000000000000000,23962.180000000000000000000000000000,25974.497724340000000000000000000000
612,1,2,1,DAILY,"2022-08-08 00:00:00",23815.680000000000000000000000000000,23929.350000000000000000000000000000,22871.660000000000000000000000000000,23158.270000000000000000000000000000,22349.078222060000000000000000000000
